area,Geographical.Level,Geographical.Place,H1,H2,L1,L2,GCQ,MGCQ,MECQ,ECQ,CQ.Dates,CQ.Classification,CQ.Values
180000000,national,PhilippinesNational,129073.3,13726.4,1688.310115,1688.310115,41.35915642,15.95608602,65.15197046,116.4933995,,,
170000000,region,4B-Mimaropa,129073.3,13726.4,1126.701873,1126.701873,47.89062755,18.49602649,56.56288279,95.05547243,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;MGCQ;MGCQ,95.06;47.89;18.5
160000000,region,CARAGA-Caraga,129073.3,13726.4,1297.298966,1297.298966,46.53340345,17.31429753,59.72032536,123.022022,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,46.53;17.31
150000000,region,BARMM-BARMM,129073.3,13726.4,1401.525371,1401.525371,26.30907625,12.96482606,32.2852742,50.80175899,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,26.31;12.96
140000000,region,CAR-CAR,129073.3,13726.4,1112.612923,1112.612923,67.17691041,31.99197321,85.32807148,139.6319807,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;MGCQ;MGCQ,139.63;67.18;31.99
130000000,region,NCR-National capital region,129073.3,13726.4,2261.885829,2261.885829,69.53560925,24.01214273,115.9000313,210.1524742,2020-05-15;2020-05-31;2020-08-02;2020-08-18;2020-12-31;2021-01-31;2021-02-28,ECQ;MECQ;GCQ;MECQ;GCQ;GCQ;GCQ,210.15;115.9;69.54;115.9;69.54
120000000,region,12-Soccsksargen,129073.3,13726.4,1541.922027,1541.922027,36.29119377,13.61349093,45.13120123,82.00252756,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,36.29;13.61
110000000,region,11-Davao,129073.3,13726.4,1987.014896,1987.014896,44.25111173,15.7561104,60.43421139,107.1335498,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,44.25;15.76
100000000,region,10-Northern mindanao,129073.3,13726.4,1250.33602,1250.33602,46.75293363,18.69560601,59.706564,105.009926,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,46.75;18.7
90000000,region,9-Zamboanga peninsula,129073.3,13726.4,1274.15,1274.15,37.08055,13.46383,45.53991,78.29896,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,37.08;13.46
80000000,region,8-Eastern Visayas,129073.3,13726.4,1431.799271,1431.799271,46.92549841,16.12824141,56.72193297,105.4646314,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,46.93;16.13
70000000,region,7-Central visayas,129073.3,13726.4,1662.34,1662.34,40.09966,17.73885,71.70517,127.8904,2020-06-30;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,40.1;17.74
60000000,region,6-Western Visayas,129073.3,13726.4,1435.222099,1435.222099,49.43663408,19.52329336,61.53568278,106.2615011,2020-05-31;2020-12-31;2021-01-31;2021-02-28,GCQ;MGCQ;MGCQ;MGCQ,49.44;19.52
50000000,region,5-Bicol,129073.3,13726.4,1494.515316,1494.515316,50.09034743,20.42929124,61.45238059,106.6393952,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;MGCQ;MGCQ,106.64;50.09;20.43
40000000,region,4A-Calabarzon,129073.3,13726.4,2025.359683,2025.359683,48.59418634,21.39356699,96.65310311,174.0015626,2020-05-15;2020-06-30;2020-07-15;2020-08-02;2020-08-18;2020-08-31;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;GCQ;MECQ;GCQ;MGCQ;MGCQ;MGCQ,174;48.59;21.39;48.59;96.65;48.59;21.39
30000000,region,3-Central luzon,129073.3,13726.4,1500.82,1500.82,38.5966,15.61212,62.6686,111.3627,2020-05-15;2020-05-31;2020-06-30;2020-12-31;2021-01-31;2021-02-28,ECQ;MECQ;GCQ;MGCQ;MGCQ;MGCQ,111.36;62.67;38.6;15.61
20000000,region,2-Cagayan valley,129073.3,13726.4,2127.982586,2127.982586,57.44690424,20.44514094,66.38271521,118.569352,2020-04-30;2020-06-30;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;MGCQ;MGCQ,118.57;57.45;20.45
10000000,region,1-Ilocos,129073.3,13726.4,1459.425407,1459.425407,54.46583907,20.88820847,66.51709163,110.1220553,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28,ECQ;GCQ;MGCQ;MGCQ;MGCQ,110.12;54.47;20.89

